regiao,estado,municipio,coduf,data,semanaEpi,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos
Sudeste,SP,Pradópolis,35,2021-06-27,26,1713,1,36,0
Sul,SC,Praia Grande,42,2021-06-27,26,1095,0,16,0
Sudeste,SP,Pratânia,35,2021-06-27,26,755,0,10,0
Sudeste,SP,Presidente Alves,35,2021-06-27,26,252,0,7,0
Sudeste,SP,Presidente Epitácio,35,2021-06-27,26,2705,-1,96,0
Sudeste,SP,Presidente Prudente,35,2021-06-27,26,26681,96,771,0
Sudeste,SP,Presidente Venceslau,35,2021-06-27,26,2834,0,93,0
Sudeste,SP,Promissão,35,2021-06-27,26,4854,3,81,0
Sudeste,SP,Quadra,35,2021-06-27,26,169,0,7,0
Sudeste,SP,Quatá,35,2021-06-27,26,1127,0,26,0
Sudeste,SP,Queiroz,35,2021-06-27,26,346,0,3,0
Sudeste,SP,Queluz,35,2021-06-27,26,931,0,6,0
Sudeste,SP,Quintana,35,2021-06-27,26,510,1,19,0
Sudeste,SP,Rafard,35,2021-06-27,26,916,0,6,1
Sudeste,SP,Rancharia,35,2021-06-27,26,3751,2,83,0
Sudeste,SP,Redenção da Serra,35,2021-06-27,26,103,0,2,0
Sudeste,SP,Regente Feijó,35,2021-06-27,26,648,0,53,0
Sudeste,SP,Reginópolis,35,2021-06-27,26,290,3,12,0
Sudeste,SP,Registro,35,2021-06-27,26,6028,7,195,0
Sudeste,SP,Restinga,35,2021-06-27,26,501,3,8,0
Sudeste,SP,Ribeira,35,2021-06-27,26,352,0,2,0
Sudeste,SP,Ribeirão Bonito,35,2021-06-27,26,879,1,24,0
Sudeste,SP,Ribeirão Branco,35,2021-06-27,26,1493,3,45,0
Sudeste,SP,Ribeirão Corrente,35,2021-06-27,26,279,0,3,0
Sudeste,SP,Ribeirão do Sul,35,2021-06-27,26,599,0,10,0
Sudeste,SP,Ribeirão dos Índios,35,2021-06-27,26,69,0,5,0
Sudeste,SP,Ribeirão Grande,35,2021-06-27,26,398,0,8,0
Sudeste,SP,Ribeirão Pires,35,2021-06-27,26,7822,4,301,0
Sudeste,SP,Ribeirão Preto,35,2021-06-27,26,66518,289,2547,2
Sudeste,SP,Riversul,35,2021-06-27,26,502,0,26,0
Sudeste,SP,Rifaina,35,2021-06-27,26,422,0,11,0
Sudeste,SP,Rincão,35,2021-06-27,26,462,8,24,0
Sudeste,SP,Rinópolis,35,2021-06-27,26,458,2,6,0
Sudeste,SP,Rio das Pedras,35,2021-06-27,26,2992,9,78,1
Sudeste,SP,Rio Grande da Serra,35,2021-06-27,26,1982,1,73,0
